,ML,loss,Input Num,Input,weight,MAPE train,MAPE test,MAPE val
183,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_dotloop', 'matrix_addloop']",1,0.02362792,0.059270077,0.065317419
319,lgb,l2,7,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop', 'matrix_addloop']",1,0.02362792,0.059270077,0.065317419
58,lgb,l2,5,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_dot', 'matrix_dotloop']",1,0.02348769,0.059297436,0.061589492
185,lgb,l2,6,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dot', 'matrix_dotloop']",1,0.02348769,0.059297436,0.061589492
65,lgb,l2,5,"['Total Frames', 'Params', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop']",1,0.020916664,0.059340739,0.065087421
96,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'matrix_convloop', 'matrix_dotloop']",1,0.022401494,0.059369163,0.061279439
218,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_addloop']",1,0.019043727,0.059755005,0.061538186
405,lgb,l2,8,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_convloop', 'matrix_dotloop', 'matrix_add', 'matrix_addloop']",1,0.025053288,0.059966365,0.065181295
283,lgb,l2,7,"['Total Frames', 'Params', 'transfer_continuous', 'transfer_roundtrip', 'matrix_conv', 'matrix_convloop', 'matrix_addloop']",1,0.025552878,0.059986101,0.064176603
127,lgb,l2,6,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_dotloop', 'matrix_add']",1,0.022567683,0.060086619,0.064796869
268,lgb,l2,7,"['Total Frames', 'Params', 'transfer_all', 'matrix_conv', 'matrix_convloop', 'matrix_dotloop', 'matrix_add']",1,0.022567683,0.060086619,0.064796869
63,lgb,l2,5,"['Total Frames', 'Params', 'transfer_roundtrip', 'matrix_add', 'matrix_addloop']",1,0.028017847,0.060147489,0.06014924
169,lgb,l2,6,"['Total Frames', 'Params', 'transfer_continuous', 'matrix_convloop', 'matrix_dotloop', 'matrix_addloop']",1,0.02451621,0.060262361,0.061439636
