,Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),transfer_all,transfer_continuous,transfer_roundtrip,matrix_conv,matrix_convloop,matrix_dot,matrix_dotloop,matrix_add,matrix_addloop
314,frame1500_9,1500,360,640,230400,617.8049640655518,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,32.55193781852722,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
315,frame2000_0,2000,360,640,230400,889.6308012008667,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,44.05912780761719,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
316,frame2000_1,2000,360,640,230400,841.1509265899658,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,44.00073480606079,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
317,frame2000_10,2000,360,640,230400,713.6719493865967,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.9932279586792,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
318,frame2000_11,2000,540,960,518400,2144.325114250183,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.73497247695923,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
319,frame2000_12,2000,720,1280,921600,1324.1342267990112,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.59661245346069,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
320,frame2000_13,2000,540,960,518400,1358.6872491836548,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.80978178977966,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
321,frame2000_14,2000,360,640,230400,752.9554786682129,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.82665228843689,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
322,frame2000_15,2000,360,640,230400,697.5388469696045,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,43.85003161430359,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
323,frame2000_2,2000,360,640,230400,689.4442510604858,13th corei7 - GTX1080,Ultralytics/yolov8l,43700000,81,44.01206088066101,0.21474,0.13715,0.17846,0.55801,2.28216,7.4431,0.96404,0.00994,0.98969
