Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s)
frame2000_9,2000,720,1280,921600,3432.654037475586,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.90260672569275
frame2500_0,2500,720,1280,921600,2091.3344650268555,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.50865983963013
frame2500_1,2500,540,960,518400,1783.1333808898926,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,34.24046015739441
frame2500_10,2500,360,640,230400,649.2635126113892,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.88303470611572
frame2500_11,2500,720,1280,921600,2413.662410736084,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.53477454185486
frame2500_12,2500,360,640,230400,1079.292576789856,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.123371839523315
frame2500_13,2500,360,640,230400,1024.8082933425903,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.18745398521423
frame2500_14,2500,720,1280,921600,4094.88050365448,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.602394580841064
frame2500_15,2500,540,960,518400,319.0746965408325,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.00543212890625
frame2500_16,2500,720,1280,921600,3324.8714685440063,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.881688356399536
frame2500_17,2500,360,640,230400,897.2026824951172,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.74807834625244
frame2500_18,2500,360,640,230400,589.4090147018433,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.74779391288757
frame2500_19,2500,720,1280,921600,2667.2008714675903,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.77923607826233
frame2500_2,2500,720,1280,921600,2681.4116468429565,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.523643493652344
frame2500_3,2500,360,640,230400,850.7514562606812,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.858195304870605
