Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),cpu_core,cpu_boost_clock(GHz),cpu_thread,cpu_cache(MB),gpu_architecture,gpu_core,gpu_boost_clock(GHz),VRAM(GB)
frame2000_10,2000,360,640,230400,713.6719493865967,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.32196569442749,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_11,2000,540,960,518400,2144.325114250183,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.956698179244995,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_12,2000,720,1280,921600,1324.1342267990112,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.92424201965332,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_13,2000,540,960,518400,1358.6872491836548,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.96663522720337,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_14,2000,360,640,230400,752.9554786682129,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.215024709701535,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_15,2000,360,640,230400,697.5388469696045,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.159568786621097,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_2,2000,360,640,230400,689.4442510604858,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.160187005996704,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_3,2000,360,640,230400,498.7122249603271,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.379002809524536,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_4,2000,360,640,230400,1002.6228094100952,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.208256483078003,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_5,2000,360,640,230400,520.5027675628662,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.258797645568848,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_6,2000,720,1280,921600,4030.43500995636,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.9182448387146,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_7,2000,360,640,230400,521.232232093811,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.166558980941772,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_8,2000,360,640,230400,532.4802484512329,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.21977663040161,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2000_9,2000,720,1280,921600,3432.654037475586,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.90260672569275,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_0,2500,720,1280,921600,2091.3344650268555,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.50865983963013,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_1,2500,540,960,518400,1783.1333808898926,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,34.24046015739441,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_10,2500,360,640,230400,649.2635126113892,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.88303470611572,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_11,2500,720,1280,921600,2413.662410736084,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.53477454185486,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_12,2500,360,640,230400,1079.292576789856,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.123371839523315,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_13,2500,360,640,230400,1024.8082933425903,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.18745398521423,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_14,2500,720,1280,921600,4094.88050365448,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.602394580841064,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_15,2500,540,960,518400,319.0746965408325,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.00543212890625,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_16,2500,720,1280,921600,3324.8714685440063,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.881688356399536,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_17,2500,360,640,230400,897.2026824951172,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.74807834625244,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_18,2500,360,640,230400,589.4090147018433,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.74779391288757,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_19,2500,720,1280,921600,2667.2008714675903,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.77923607826233,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_2,2500,720,1280,921600,2681.4116468429565,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.523643493652344,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_3,2500,360,640,230400,850.7514562606812,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.858195304870605,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_4,2500,720,1280,921600,3399.737826347351,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.784531354904175,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_5,2500,360,640,230400,898.2702703475952,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,33.03934574127197,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
frame2500_6,2500,360,640,230400,974.457657814026,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,32.901238203048706,14.0,5.1,20.0,20.0,1.0,4864.0,1.665,8.0
