,Directory Name,Total Frames,Width,Height,Pixels,Directory Size (MB),Server Info,Model Name,Params,Categories,Inference Time (s),transfer_all,transfer_continuous,transfer_roundtrip,matrix_conv,matrix_convloop,matrix_dot,matrix_dotloop,matrix_add,matrix_addloop
31,frame2000_15,2000,360,640,230400,697.5388469696045,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.159568786621097,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
32,frame2000_2,2000,360,640,230400,689.4442510604858,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.160187005996704,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
127,frame2000_14,2000,360,640,230400,752.9554786682129,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,32.235835552215576,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
185,frame4000_1,4000,360,640,230400,1780.361890792847,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,64.22642040252686,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
278,frame3500_7,3500,540,960,518400,3085.3826293945312,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,260.4207284450531,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
271,frame3500_1,3500,720,1280,921600,4805.743712425232,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,262.27327847480774,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
147,frame2500_18,2500,360,640,230400,589.4090147018433,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,39.45112633705139,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
276,frame3500_5,3500,720,1280,921600,4769.266528129578,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,262.1632490158081,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
177,frame3500_3,3500,720,1280,921600,5747.368581771851,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,61.322264432907104,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
99,frame0500_2,500,360,640,230400,118.56429481506348,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,8.046174764633179,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
197,frame0500_3,500,2160,3840,8294400,2999.1242027282715,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,41.20458745956421,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
243,frame2500_17,2500,360,640,230400,897.2026824951172,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,186.14752388000488,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
115,frame1500_4,1500,360,640,230400,514.2756662368774,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,23.599851369857788,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
265,frame3000_5,3000,540,960,518400,2610.4615926742554,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,223.95038557052612,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
72,frame3000_6,3000,360,640,230400,941.1938095092772,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,39.50694465637207,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
25,frame2000_1,2000,360,640,230400,841.1509265899658,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.260849475860596,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
165,frame3000_2,3000,360,640,230400,1054.5900554656982,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,48.83389091491699,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
287,frame4500_0,4500,540,960,518400,2751.66600894928,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,334.62475872039795,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
174,frame3500_1,3500,720,1280,921600,4805.743712425232,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,61.95188021659851,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
289,frame4500_2,4500,360,640,230400,1522.766714096069,13th corei5 - RTX3060 Ti,pytorch/fasterrcnn_resnet50_fpn_v2,43712278,81,334.32651448249817,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
39,frame2000_9,2000,720,1280,921600,3432.654037475586,13th corei5 - RTX3060 Ti,Ultralytics/yolov8l,43700000,81,26.90260672569275,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
193,frame4500_3,4500,360,640,230400,1688.6479215621948,13th corei5 - RTX3060 Ti,pytorch/ssd300_vgg16,35641826,81,73.46968173980713,0.19683,0.11924,0.152,0.61767,1.38042,7.77619,0.83275,0.00579,0.57337
